minute_utc,entity_id,recorded_changes,min_w,avg_recorded_w,max_w,last_w
2026-08-12T07:49:00Z,sensor.ac_power_total,8,2039.11,2040.666,2041.54,2040.68
2026-08-12T07:49:00Z,sensor.furnace_power_total,4,277.78,277.975,278.18,278.18
2026-08-12T07:50:00Z,sensor.ac_power_total,4,2033.57,2036.178,2038.83,2033.57
2026-08-12T07:50:00Z,sensor.furnace_power_total,2,278.58,278.6,278.62,278.62
2026-08-12T07:51:00Z,sensor.ac_power_total,8,2027.3,2029.555,2032.64,2027.3
2026-08-12T07:51:00Z,sensor.furnace_power_total,4,277.45,278.002,278.29,278.12
2026-08-12T07:52:00Z,sensor.ac_power_total,8,2026.09,2028.993,2030.28,2026.09
2026-08-12T07:52:00Z,sensor.furnace_power_total,4,277.59,277.902,278.14,278.14
2026-08-12T07:53:00Z,sensor.ac_power_total,8,2019.51,2022.585,2025.96,2019.51
2026-08-12T07:53:00Z,sensor.furnace_power_total,4,277.85,278.248,278.79,277.85
2026-08-12T07:54:00Z,sensor.ac_power_total,8,2019.26,2020.629,2021.71,2020.04
2026-08-12T07:54:00Z,sensor.furnace_power_total,4,278.08,278.435,278.67,278.65
2026-08-12T07:55:00Z,sensor.ac_power_total,8,2016.14,2017.214,2019.06,2016.14
2026-08-12T07:55:00Z,sensor.furnace_power_total,4,278.52,278.605,278.68,278.68
2026-08-12T07:56:00Z,sensor.ac_power_total,8,2015.4,2016.176,2016.96,2015.91
2026-08-12T07:56:00Z,sensor.furnace_power_total,4,277.83,278.347,278.85,278.06
2026-08-12T07:57:00Z,sensor.ac_power_total,8,2015.05,2015.78,2016.46,2016.46
2026-08-12T07:57:00Z,sensor.furnace_power_total,4,278.0,278.48,278.79,278.73
2026-08-12T07:58:00Z,sensor.ac_power_total,8,2011.69,2013.911,2015.4,2011.69
2026-08-12T07:58:00Z,sensor.furnace_power_total,3,278.49,278.517,278.55,278.55
2026-08-12T07:59:00Z,sensor.ac_power_total,8,2011.8,2012.766,2014.22,2013.6
2026-08-12T07:59:00Z,sensor.furnace_power_total,4,277.95,278.43,278.65,277.95
2026-08-12T08:00:00Z,sensor.ac_power_total,8,2006.36,2009.764,2012.31,2006.36
2026-08-12T08:00:00Z,sensor.furnace_power_total,4,278.04,278.303,278.94,278.19
2026-08-12T08:01:00Z,sensor.ac_power_total,8,2005.04,2006.475,2007.7,2005.71
2026-08-12T08:01:00Z,sensor.furnace_power_total,4,278.02,278.322,278.68,278.46
2026-08-12T08:02:00Z,sensor.ac_power_total,8,2001.84,2003.642,2004.96,2003.1
2026-08-12T08:02:00Z,sensor.furnace_power_total,4,278.23,278.757,279.69,278.39
2026-08-12T08:03:00Z,sensor.ac_power_total,8,1999.68,2001.464,2002.68,2001.18
2026-08-12T08:03:00Z,sensor.furnace_power_total,4,277.73,277.965,278.28,277.73
2026-08-12T08:04:00Z,sensor.ac_power_total,8,2001.5,2002.28,2003.09,2003.09
2026-08-12T08:04:00Z,sensor.furnace_power_total,4,278.05,278.408,278.67,278.67
2026-08-12T08:05:00Z,sensor.ac_power_total,8,2001.93,2003.366,2004.62,2004.62
2026-08-12T08:05:00Z,sensor.furnace_power_total,4,277.87,278.132,278.27,278.27
2026-08-12T08:06:00Z,sensor.ac_power_total,8,2005.77,2011.611,2015.93,2015.93
2026-08-12T08:06:00Z,sensor.furnace_power_total,4,277.89,278.215,278.59,278.03
2026-08-12T08:07:00Z,sensor.ac_power_total,8,2011.95,2016.182,2018.47,2011.95
2026-08-12T08:07:00Z,sensor.furnace_power_total,4,277.96,278.252,278.57,278.1
2026-08-12T08:08:00Z,sensor.ac_power_total,8,2012.39,2013.586,2014.32,2013.82
2026-08-12T08:08:00Z,sensor.furnace_power_total,4,277.82,278.1,278.32,278.04
2026-08-12T08:09:00Z,sensor.ac_power_total,8,2014.33,2015.388,2016.66,2016.66
2026-08-12T08:09:00Z,sensor.furnace_power_total,4,277.95,278.32,278.5,277.95
2026-08-12T08:10:00Z,sensor.ac_power_total,8,2014.97,2016.131,2017.3,2017.3
2026-08-12T08:10:00Z,sensor.furnace_power_total,4,277.93,278.305,278.57,278.29
2026-08-12T08:11:00Z,sensor.ac_power_total,8,2006.71,2010.839,2015.84,2006.71
2026-08-12T08:11:00Z,sensor.furnace_power_total,4,278.17,278.47,278.77,278.17
2026-08-12T08:12:00Z,sensor.ac_power_total,8,2001.56,2003.63,2005.96,2001.56
2026-08-12T08:12:00Z,sensor.furnace_power_total,3,278.12,278.22,278.3,278.3
2026-08-12T08:13:00Z,sensor.ac_power_total,8,1995.08,1998.727,2001.63,1995.08
2026-08-12T08:13:00Z,sensor.furnace_power_total,4,277.58,277.918,278.48,277.58
2026-08-12T08:14:00Z,sensor.ac_power_total,8,1995.36,1997.303,1999.92,1999.92
2026-08-12T08:14:00Z,sensor.furnace_power_total,4,277.62,278.147,278.89,277.62
2026-08-12T08:15:00Z,sensor.ac_power_total,8,1998.35,1998.966,1999.6,1999.25
